monica,okay ben why dont you come open some more presents and santa the armadillo and have little talk the kitchen theres sentence never thought say
ross,chandler what are you doing
ross,you know think thats great idea itll like the pilgrims being the indians syphillis
rachel,look know shes little tough takebut she has where else and shes sister alright and shes emmas aunt and like them bond
ross,okfine but dont want them bonding too much dont want her telling emma she needs nose job
rachel,well ross you know what she may need one were just going have make our peace with that
rachel,hey you guys this sister amythis chandler joey phoebe and you know mon
joey,yeah
monica,they exchange pecks the cheek
joey,phoebs still need some help here
phoebe,right ermokso its not just the lie you tell but its the way you tell for example you look down the ground when youre talking people know youre lying
joey,ohnoddingi dont know why this hard for meyknow what mean lying basically just acting and terrific actorsmirks
phoebe,you are looks down suddenly terrific actor
rachel,just put her down for nap
ross,thank you amy
ross,emma
joey,hey
phoebe,hey what did say
joey,well can little rough around the edges gon replace word used lot with the word puppy okay said your puppy friend doesnt get her puppy act together gon fire her motherpuppy ass
phoebe,sorry cant this not actor
joey,thats right youre not youre nurse youre nurse with tray
phoebe,joey
joey,nurse with tray doesnt know joey she doesnt have time for friends she gets that operating room and she carries that tray the doctor because she doesnt people die
phoebe,who dies
joey,points man operating table man with eye patch you get there and you your job
phoebe,yes doctor
joey,okay
phoebe,hang there man with eye patch your tray coming
phoebe,does the scene yes did nailed yay whats next
phoebe,okay from the top people
joey,for walk
chandler,you mind join you
joey,actually would rather alone you know really need toorganize thoughts
chandler,your thoughts plural
joey,alright fine only have one thought its about the hot nanny ive got see her
chandler,afraid cant let you that joe
joey,now youre telling cant see her you guys are killing shes forbidden fruit its like like shes the princess and the stable boy chandler looked irritated why are you doing this huh did ross tell you not let over there
chandler,yes matter fact did cant let you
joey,huh interesting now there are obstacles hot nanny and against the world this the kind stuff great novels are made
chandler,great novels
joey,fine mediocre porn
rachel,rachel greenes office give the phone
rachel,hello this rachel greene how can help you huh then ill pass you back your son she hands back the phone
rachel,hmm excuse gavin have question need ask you
rachel,you like looking butt much why dont you just look mirror
monica,didnt say your songs were not good enough
phoebe,then whats wrong with them would they not with your tiny portions pretentious food
monica,tiny portions
phoebe,yeah well excuse ordered the smoked salmon appetizer but peering through her spectacles cant see cant see
monica,phoebe its not about quantity
phoebe,wellits not about quality
monica,really you want talk about quality have you heard key its what some people sing
phoebe,well least all songs dont taste like garlic yeah there are other ingredients monica
monica,thats what were doing you know when the coffee house bopping along one your songs wearing ear plugs
phoebe,ear plugs cloves garlic
monica,you know what take back what said before you keep playing the restaurant because with your music driving people inside bar sales are going like crazy
phoebe,what are people having the garlic martini
chandler,did and you still have all your lamps
chandler,didnt factor the room tax
chandler,alright just follow lead
chandler,thanks crazy about our place hey speaking crazy you have history mental illness the family
chandler,very seriously thats really not the kind thing are looking for zack
monica,friends first drunk london you know the story ive got better question for you you any your blood relatives have diabetes
monica,heart disease alzheimers gout
monica,were just making conversation chandler makes agreeingsound
