person,dialogue
chandler,yeah well guess dont need help victor victoria
joey,right need help chandler dont know take anymore
chandler,combination ice cubes aloe vera gentle selfloathing touch
monica,take mansion skyy sorry song see
phoebe,every little bit
monica,cant believe cant believe singing people liked hey hear
phoebe,mon didnt sound good
monica,good didnt hear themi great thank much making thats best gift ever
ross,whats great dont mind talking
ross,uhah
ross,pfew good choice ross
rachel,hey ive looking everywhere
ross,yeah hello well
rachel,listen mum bringing baby back nine clock hoping could
chandler,merry christmas guys
phoebe,simultaneous others blah blargah blarblab
chandler,hanging phone wife says
chandler,well shes got weird idea yknow alone something gon happen
chandler,probably wrong thing worrying youre getting ham tie
chandler,whoaho back missy takes step back still keeps grip tie
chandler,dont know used girls making passes lets tie wait minute sexy oklahoma
chandler,flattered realizing quickly gets several steps away look married
chandler,happily married
chandler,right sorry
chandler,well look easy spend much time apart know shes entitled little paranoid case right money know shes amazing beautiful smart right shed kick ass look youre really nice person ham stealing adultery aside wife pretty great nothing ever gon happen
chandler,mean beautiful woman room tonight
monica,really
chandler,kidding youre beautiful woman rooms jumps kisses breaking kiss whoa whoa whoa whats going made making
monica,hear say youre grounded
chandler,said last week
monica,hard shoes furniture
joey,argh producer days life left message machine asking wasnt parade say everybody pissed got meet santa whining
phoebe,thought perfect lie easy remember doesnt invite alot questions werent parade family emergency
joey,ohi like yeah wasnt parade family emergency
phoebe,ooowhat happened
joey,ermy sisters raccoon came
monica,whawait
joey,setting table
phoebe,thought might nice use fancy china dessert
monica,ohhow nice maybe later blow noses wedding dress
ross,hey dude sorry bout
chandler,thats youre totally right dont know anything disciplining child butyou hurt feelingsso want know die dont get joey
joey,see drake fight
joey,slept never called
phoebe,wanted new daddy davy becky
phoebe,yeah well angry slept never called back
joey,calm means show need new extras around
rachel,yes emma came little early research presentation actually made changes think caught everything ask anything
rachel,except zelner enters hello zelner ready presentation afternoon
rachel,cant baby ross gon pick another hour
rachel,well win win get presentation youll knock dead one ever remember worked ralph buy helicopter super gavin fly right along side
rachel,cant baby
rachel,would
rachel,thats really nice
rachel,youre gon like whats coming starts crying sorry sorry sorry thank thank
joey,didnt college
joey,mollypeople dont study acting
ross,mollyerdo mind giving minute
joey,stable boy never get princess
ross,think gon huh sex right couch
joey,leather sticks ass know isnt fair make think gon sleep blow huh cant guy open mind possibilities actually like might want something real ross chandler remain silent truth havent felt way anyone since rachel didnt think could ever love
ross,yea yeah come molly
ross,erwell joey guess problem
joey,like favourite fairytale come true princess stable boy lesbian
phoebe,okay start preparing formula start changing box got put straight bed
phoebe,well know responsibility
phoebe,mate brothers sisters
phoebe,really opened boxoh god get sister
phoebe,god gon seven ratsmike nods seven rats seven rats thats like counting fingers thats maths cant even gon
rachel,joey thing say youre bad ill give compliment
joey,little yeah really worried know mean make convincing love olivia
joey,soive never played
rachel,ooh honey cant hard mean youve love
joey,uhwelljust oncewith
rachel,okthis could little awkwardim going blow past well cant use method actor thing use real life memories help performance
joey,looks moment hell talking
rachel,shakes head alright alright look try remember felt love think youre playing scene
joey,approvingly yeah think yeah theres party scene coming olivia husband drake wants grab kiss cant makes think times wanted grab kiss didnt know would pretend everything cool really killing
rachel,looks touched joey neveryou never talked
joey,well hey know else could use theres scene drake sneaks olivias bedroom doesnt know hes never happened knows shouldnt wants look know romantic voice remember mornings even put makeup would think god sheis beautiful rachel looks moved hurts much cuz knew could never tell pauses looking sentiment worth looking
joey,excited thanks dudethis great leaves rachel touched couch goes room
chandler,got something vermont sits table
monica,without looking shes besides tampons salt looks ooh god maple candy thats sweet opens box thats weirdits empty
chandler,yeah hes better
monica,hes cant get pregnant dont want get pregnant anyone else
chandler,really sure
monica,yeah sure
chandler,sighs relief thank god dont wan either know thought wanted know husband supposed bring sperm
monica,sweet love kiss
chandler,know leaves
monica,adoption
chandler,feel
monica,think feel actually think feel really good
chandler,wan find baby needs home wan raise wan mess specific way
monica,really gon adopt
chandler,smiling yeah
monica,excitedly god gon parents
monica,hey sweetie
chandler,doctor connelly called
monica,good news quickly wringing hands course good news said deadpan doctor connelly called good news would said excitedly doctor connelly called problem problem
chandler,actually
chandler,apparently sperm low motility inhospitable environment
monica,mean
chandler,means guys wont get barcaloungers uterus prepared kill ones pause means
monica,chandler
chandler,seriously means keep trying theres good chance may never happen
monica,weeping god
chandler,sorry
monica,sorry
chandler,well gon gon figure
monica,still weeping know
phoebe,imitating receptionists tone good morning receptionist
ross,shes gon scientist kisses rachel head moved
joey,checking last ticket damnit anybody got anything
phoebe,still looking mine
monica,double checking sono notakes shoe takes ticket
monica,answering phone hello hold boss
chandler,sorry rejected phone call used getting guys phone getting sofa hey steve
chandler,love somebodys assistant answering phones getting coffee live stuff mature farts boobies butt cracks
chandler,guy said butt cracks
chandler,well thanks wont regret ill see tomorrow hangs
chandler,pause yeah gon junior copywriter
monica,sweetie proud
chandler,mean get good loving tonight
monica,bet anything gets sofa goes kitchen area
joey,chandler hey great job
chandler,thanks man
joey,walking table many badges know picks badge frank medeio picks another badge eva trorro womba
rachel,picking another random badge kate miller
joey,kate miller picks kate miller badge sticks rachels breast
rachel,thats sex gon weekend
joey,case make sure real good repeatedly tapping breast stroking
rachel,thank walk away
ross,yeah thats
ross,god sits beside skims notes excitedly
ross,yes make pyramid bath products amazing thank thank much leans look moment thats pretty necklace
ross,hey say celebrate champagne goes get champagne
ross,god love
ross,thats ben son first marriage
ross,yeah
ross,clink glasses drink
phoebe,dont think move didnt know gon happen cant move knowing nothing ever gon happen
phoebe,gon change
phoebe,neither think need someone wants want
phoebe,dont want end either
phoebe,yeah
rachel,sorry phoebs
monica,sorrythey hug
chandler,ahlook bright sidei mean wont live ugly chair already huh love youthey hug
joey,hah alrighthe takes box close fridge thinks better take carrywho knows ill able get
monica,youre weird
monica,realizes pants undone zips
monica,damn
monica,blame
ross,hour one classmates shown tell actually die people gon get seriously haunted
chandler,someone came
ross,gon hide exciting first mourner hides bedroom closes door
monica,glad could come
chandler,mournful voice please come
chandler,yes yes let take coat
chandler,least died loved watching blimps goes bedroom
chandler,guy tom gordon
ross,dont remember touched many lives press ears door
